1	SPjK4XcWEM2t0yeESh81j	PIcVHXOKMTOTDmuzWPta	dem_azmnDrYTYNXJLpSLV
2	SPjK4XcWEM2t0yeESh81j	gS1jq1EdftiO511VPVH0	JXaABWirVbMYxvZ3JgDH1
3	SPjK4XcWEM2t0yeESh81j	0zHVQD9BiCnJUkQA5B8g	ceK9wstSmWHA9QrisJ0_E
4	4NGjCswGGIBz31ftpklXw	eSodRRiNj2OZCp1SVZ64	_odJaKrSuHcKxyjjGs2ow
5	4NGjCswGGIBz31ftpklXw	3nFr4l2XrrgK5hVdV9FK	SeRLVUADxgxo720NUgyem
6	4NGjCswGGIBz31ftpklXw	a9fVz3lyacwicu9tfUKD	b2UC6aH0BGgPnh2jFNlhA
7	_jfCyd_up5phyUW7V_bm9	kqwSODtzCxvaEZtxhVNM	_-uhLhhbeV8IN4aFFKVBe
8	_jfCyd_up5phyUW7V_bm9	tUX2ZxZyfWkPW0y9aln2	uWBIaKicmDibCPImUrMDk
9	_jfCyd_up5phyUW7V_bm9	AgSvMU33SMkSjg3XUdyX	1-2hB9WGM4x_u0McsSJZy
10	gDNyFKBxaBw7ljiuokMAz	1VeCx0j9B3Zoa3iwlOTf	Hm1ntfRWHDxewxpKpWkCc
11	gDNyFKBxaBw7ljiuokMAz	8auoYwJZdfCIxb2vDoK5	p12gynJwVyd7-J65onplQ
12	gDNyFKBxaBw7ljiuokMAz	FQB8h0cR5r5fO2rgRBSX	JZDLBWyi814yO0HR0WTrZ
13	ug8hYV65woZyiRIix893E	6W2GCqwr8dmso0GrcKF9	4Q2h4LZWT7xdykWZVUMwf
14	ug8hYV65woZyiRIix893E	ZRselyQNu3g4pFHEzh42	jBOMlmjGH8j7U7KFftuBy
15	ug8hYV65woZyiRIix893E	YYsyYEo1vtDJd0HnT2nD	GWF1rrOcqPQ_tfo24SurG
16	p8PXWkjAjQXZekQI4Zp9y	sii6ksiXzMwzp4kkoczD	BeTeE0leO9WQ21BwdQiwY
17	p8PXWkjAjQXZekQI4Zp9y	xBKxKxQyIRY5q5rIDnsy	SwcfiecIMMAJSa1jEvqwW
18	p8PXWkjAjQXZekQI4Zp9y	mqZlqdyeRrIA1aW7PGN0	WxqiWuTBPhunO5v9LxtO5
19	UpDAY79-4lNmnCep6gOed	KHEFaXJz8y0XhxZuodr0	WofrCxh2OOFknicuqi3uj
20	UpDAY79-4lNmnCep6gOed	wfcDisX2yh3eR06H4AxJ	efeqbgGiLL65emGLRuQ72
21	UpDAY79-4lNmnCep6gOed	7CLMZGNVppLyqfXTP2op	oef9h_DoBvAZ_JtwPQBOc
22	pkty8KmCYUDQCBSP4XJv9	mJzf6bjcbJo2Aun5mc7E	Qh5LFWQFV6JGgltGbUmtj
23	pkty8KmCYUDQCBSP4XJv9	75bOI1WWrSP1ZYYq8O1V	DyjCETsclZ5-nvCvY9q8c
24	pkty8KmCYUDQCBSP4XJv9	K2siPB7SNszrGhldao9X	Xndb3SmPiSrbCgWHPuQCF
25	fRXw8p6jBIm2RhrDb0i3v	1RYkblfRMN9f9NQ3pZcG	s8A0IV39ih3p-FFVqE5rc
26	fRXw8p6jBIm2RhrDb0i3v	Gxd8ca3jst9Ouo8gp8lZ	dJUQXqOLo0M8sKUCkeIGO
27	fRXw8p6jBIm2RhrDb0i3v	DdcN2ucc2MSBuqOk5hiL	EokMd8N5p4kDZPRuK0F1b
28	BfVecl2cikIea85Yrs4Ed	ZQZ3ZsqbjSnshxcgkuja	Zvjwi01a7plGSZbbIgWfi
29	BfVecl2cikIea85Yrs4Ed	NvJmg80tMp0UyeGG59Dv	QjaBi2eQEkMWm20eVY48n
30	BfVecl2cikIea85Yrs4Ed	pNT8RHlFq6oF9IhuPJob	-IyCmiJirwn2BN_NbiSpR
31	MHyUJbitTTTbapJrJhfAx	SkQA1GPj4R869sN0wdFu	GMqido6z1XaLL2Aa2UQAe
32	MHyUJbitTTTbapJrJhfAx	xTj70Y8MHLx4TviJp8p4	Mt3e5uGQw1uTD3RuNPzOD
33	MHyUJbitTTTbapJrJhfAx	DSZ9rxsSWgPIhgM1I7el	5KmeH0u5QHYfMh8DIOZJG
34	n4rNQRyY35E4R9MFRUNjg	R7kPJk0lZ7ijyiVIzzt6	4sgVXexQLavmZPHFyVjBx
35	n4rNQRyY35E4R9MFRUNjg	4IJHFxrsnRTAyXkydmgr	zOLKTL3qSS60SXjsSB-Y3
36	n4rNQRyY35E4R9MFRUNjg	W3mAIs8HzuOzKBYqvucv	cy3hIE07KfVT81nQsyqH3
37	VZF8nga4kTZ-w0Olcn5vn	7lb1CRhs0DDcvjgWWvrt	pYFm6i45GFQwDzNNt_6sT
38	VZF8nga4kTZ-w0Olcn5vn	pf7N1NqR1P8gB8g0IMbr	7nWDLScsUeJkaydKB0M3d
39	VZF8nga4kTZ-w0Olcn5vn	3IbB7Ugn8uFLpNBsd6Ds	Yppfi2njW4cI-P449VzXS
40	HrlL2k_q9-Te22upMivYF	Vkk4r8W2KpMVIr6VygYP	m1Hv-9V93MSf451N7AvRn
41	HrlL2k_q9-Te22upMivYF	FvPuCP5VBN1JnynVczMI	gzUQUIXnnLtbaQ5r-0z-W
42	HrlL2k_q9-Te22upMivYF	C4e4sBXmPyxBw4fDMWJA	jkaOC9Cr-psqy6oBg3OW0
