# Fortschritt Kurstexte 18.09.2026 (courseId | name | status)
4NGjCswGGIBz31ftpklXw | Atemarbeit | fertig
OgK8hXPKyb-SUkaC86yoP | Yoga Grundlagen | fertig
Wlv8dSO59XPqxoiZFV_j4 | Meditation lernen | fertig
VZF8nga4kTZ-w0Olcn5vn | Gewaltfreie Kommunikation | fertig
7XcTZmeJIMgzJrPq1R-cn | Fasten | fertig
0F2ijOLywqal_tukiNhbI | Rücken befreien | fertig
Dru8oLm5T9NoyH71Lj9aO | Holistic Pulsing | fertig
wVkThoB_M3Lhlas0H6o3m | Massage | fertig
OwQBkwR-A2KsZDRskWATF | Kung Fu | fertig
_jfCyd_up5phyUW7V_bm9 | Batto Jutsu | fertig
gqjn_5SAq3zKkJtQmhl9e | Selbstverteidigung | fertig
A0i_8I2EYIrqO4J7qECf1 | Ninjutsu | fertig
4PePVe2iv75jEy9ePOsgA | Schamanische Reise | fertig
4AnrLkNC92TiuxQ5rm4JP | Rituale Jahreskreis | fertig
4b0vuWJZUUWaqsGW9qFM1 | Traumarbeit | fertig
MHyUJbitTTTbapJrJhfAx | Frequenz Labor | fertig
HyqGqRtSE6lDfwLst4Kj_ | Moderne Techniken | fertig
kSSqWVomFwjHJGR06X7U4 | Intuition | fertig
J77jj9iLIuaMrwUc3aI7C | Permakultur | fertig
VJSeUGZDRVwym0A787sPj | Selbstversorgung | fertig
4HDFs0J582xH6n4rm5wVB | Waldwissen | fertig
HrlL2k_q9-Te22upMivYF | Hausapotheke | fertig
ESU-nW24rrjjRv4WypwtY | Wasser | fertig
p8PXWkjAjQXZekQI4Zp9y | Bienen | fertig
K76q3Fcbh9D3k3Yu2mIr- | Natürlich bauen | fertig
SPjK4XcWEM2t0yeESh81j | AI ART | fertig
Agz_Mxd6ZpEs_3M4NYnIA | Nature ART | fertig
ZVijr9BxjzHYpjGMO5Di3 | Musik produzieren | fertig
Yf0amKq1fLbkCroR7LopU | Stimme & Gesang | fertig
KS3-V3K2zFHoFyOSEzr11 | Intuitives Malen | fertig
pkty8KmCYUDQCBSP4XJv9 | Filmen Smartphone | fertig
n4rNQRyY35E4R9MFRUNjg | Gemeinschaft gründen | fertig
KEfU7ArfFSk9bIIqnGgN- | Tauschen Teilen | fertig
ug8hYV65woZyiRIix893E | Beziehungen | fertig
W8ZblVeghhDr5XcHQGYur | Träume verwirklichen | fertig
fAcw0eRnDgcx_KPxkMUGJ | Retreat-Leitung | fertig
fRXw8p6jBIm2RhrDb0i3v | Finanzielle Freiheit | fertig
gDNyFKBxaBw7ljiuokMAz | Berufung | fertig
zWpac7HT9RWbdHUt4paQC | Selbstständig mit Herz | fertig
Pal5od2lTS1rxhu8XumFk | Online sichtbar | fertig
ZdrJxNsfCqFpVtDVMoYF5 | Lebensschule Kinder | fertig
f2d9dQlpQ6xLr_foiRKge | Natur-Entdecker Kinder | fertig
fT9fXF_tu67IuaAlyejjx | Qi-Gong Kinder | fertig
BfVecl2cikIea85Yrs4Ed | Freies Lernen | fertig
z9dZf_EXqyWTBKNO3b5ye | KI verstehen | fertig
UpDAY79-4lNmnCep6gOed | Digitale Selbstverteidigung | fertig
# === alle 46 neuen Kurse fertig (19.09.) ===
U8TZKIHKoFLIFFKeF15np | Schule: Träume Talente | Kurs+4 Module+Einheiten 1-2 fertig; offen: mEMRDXxXof0tUzMmU8lPb, -DnKRk4jKBS8XAgEeCbWM, H6u8cIHe7yrk_RFW9FJUA, i2ZHCzQ6Jjn_anSsEV5-p, 9iTrmMlcTqzSsvcbsZ987, R-g4M18zRnfzSNL8iwbK6, ePJSGFXj_hjqsQL_GyRF3, KK-NSP9R4jqf8rk11HqDp, 3rTWqdzox8SEsGtgzoZSt, o27P0dbiqqiduU1w_GcOR
U8TZKIHKoFLIFFKeF15np | Schule: Träume Talente | FERTIG
h_l_XEeLiAj1dJUxo5yoR | Schule: Bewegung Körper | Kurs+4 Module+Jahr1-2 fertig; offen: DHv6Ig9x77vkoG4hdJE2_, kt1p9Y9-xZYyKBdJY1kB-, O-N7Vw2ZGHeH82Duddbr7 (H4VQOguRLCrnu0fr349r), jatjXn4czyBtU-8BEj-2D, MusNrIxew8sTIT73C5dtM, iqW0_gDhYENJ3TdVjtIoX (FfbeTDWyhwIlisVyW0Bi)
h_l_XEeLiAj1dJUxo5yoR | Schule: Bewegung Körper | FERTIG
-VUKmAjoEKn66C2edObZ9 | Schule: Kreativität Ausdruck | Kurs+4 Module fertig; offen alle 12 Einheiten: R4evElri3T75GDB0KQbS[FfRmhkpAS_noEgiSeun1G Einführung, sIYbMwdaKt0aNEp2UpQQY Übung, D_POHRnGaVciTswdD2IcW Erste Konzepte] Yf4nSxcZgCtGGqJx1YKg[9hK9W1mxh74JiFRVy-4DT Praktische Anwendung, fheKOEzeMreewLNF2D3wm Fortgeschritten, ThqWclfnePLHYIjPNc4TN Aufbau] bQOHZmwK4BosbPePDt8Q[ONfx3mNJv66bJ66YT3vQY Vertiefung, fgZ5q0H30wx-89uSLpGLq Komplexe Aufgaben, hoO8A8L8eq6YhGw1kGfU7 Projektarbeit] DbIN5KlAaetjnd1ET9Gs[DNBlB10GQqYqBsKlkYMA2 Oberstufe, zcKdpPBFbuc0NgjBRKLGR Prüfung, QBvUCWuR5jG-t8nNIH-3S Abschluss]
-VUKmAjoEKn66C2edObZ9 | Schule: Kreativität Ausdruck | FERTIG
nächster: NZlxGlubJH8K00z5EWJ3H
NZlxGlubJH8K00z5EWJ3H | Schule: Welt Wirtschaft | Kurs+4 Module+Jahr1-2 fertig; offen: c9hcpmkGKk7j5b8J8wvI[_UP8fbZb8LsHrOwqzn0K5 Vertiefung, bcZvqrGtjhhkL-5dxBFXv Projektarbeit, AMrsYpGIg1Np9jUI-BdrQ Komplexe] uQRTEugNAL2wy0ppQ79D[gc1IBJsjVmwuEJ2VUjtAl Oberstufe, smZCMgOUeQGPsDxOhZM_h Prüfung, -i9m5HQPenbw9f44L1bx5 Abschluss]
NZlxGlubJH8K00z5EWJ3H | Schule: Welt Wirtschaft | FERTIG
3HNhuvT3tHDzsybsc0-LQ | Schule: Geschichte Politik | Kurs+4 Module fertig; offen alle 12: rmuEM3jQRoqV3DQk7xFo[AAYGuojaUmIpLjTNHdEvE Einf, 79RZORihv9JBlMkyUgZtD Übung, GKLFItRw0vxncAe_RKhAm Konzepte] M4oSqAWs27YjDd1DKvD0[5mvP3fb0K-MmWK5kP4-gK Praktisch, oPG-hGetoPiM46Pdk-e2- Aufbau, hsUSB5ybIHQItRCO3V6-C Fortgeschr] DT77NcnRbSwli6T1J5RU[BOjfQAp7074rTXnZyvd1l Vertiefung, -O-JjK60MU1aKx-Rp8vXL Projekt, zGswQHke7M2xViRxG_wA1 Komplex] YWm2HZ4OojDx6RKANgub[bRKcM6mk79lmsJJ9Hy3QG Prüfung, IuQKoFtRNjBXcEJToWA3v Oberstufe, S0x5TwYfFe6LDzpGfIOf5 Abschluss]
3HNhuvT3tHDzsybsc0-LQ | Schule: Geschichte Politik | FERTIG
nächster: BOmXE-3QSKg2tNGioRgSV, dann bYICCqCgD2ZA86ybp7v6I, 5zKYITU1TtQnAN4Fhujo2, 2z7tmWz9GHoxDLU7gja-M
BOmXE-3QSKg2tNGioRgSV | Schule: Naturwiss | Kurs+4 Module+Jahr1-2 fertig; offen: 53lHfLeqOSZzkk9YlIcU[vWSlhtBT9U57e2ZVkrdOC Vertiefung, 3dhQrVGjeCx80KP97AhZ1 Projekt, M5cPB1Yfe4Kan6YeJpSjZ Komplex] L8moHJVnwZjVAg5rZaJB[SoBpK81QctSuehJPW_zhH Prüfung, Y-IDbn3QceuZAw9r-6Ppl Oberstufe, DK1vW67V6YTJHlnof6j6Q Abschluss]
BOmXE-3QSKg2tNGioRgSV | Schule: Naturwiss | FERTIG
bYICCqCgD2ZA86ybp7v6I | Schule: English | Kurs+4 Module fertig; offen 12: hyuegTb3284GDPyoPTWV[JxMitRvclblL1iWzHXEjl Einf, JK3uD4u0YiPwbnYx8b6PE Konzepte, lBhoHTbe4brcsNTPaoK6Q Übung] 4x742okuCNO2V5yi9iAR[QmBy2LAa8F4Y6oTvluqvD Aufbau, wwYC5umRuZuIO9NIW0S16 Praktisch, QoXEC5PSNBjmC6h7VR7pT Fortgeschr] FinpqkyAVfQZFnAcTPrZ[aSfaoXsol8pkGqYGn_nLF Vertiefung, 3ctraZs627FDIsgKPXtYH Komplex, 6AOcLPCBxERWjnw-nDlE3 Projekt] a21Zuvynd3wBwwlTqR4e[Ue3gI-FzASxT4AFA3BTfb Oberstufe, sHiv8LixenlfChZmi_1yg Prüfung, r04O7kg6C08jlQ0UfR7By Abschluss]
bYICCqCgD2ZA86ybp7v6I | Schule: English | FERTIG
nächster: 5zKYITU1TtQnAN4Fhujo2, dann 2z7tmWz9GHoxDLU7gja-M
5zKYITU1TtQnAN4Fhujo2 | Schule: Mathe | Kurs+4 Module+Jahr1-2 fertig; offen: U2qfOg5SPitOFeIYD3aN[_yR_np9iJSJNvgj_8Leur Vertiefung, X8zJ_Dn1BPh1mBnmzsc_Y Komplex, mjvLVABdUOXdP8EcS9Awk Projekt] sBeC7nNB2P6brTid0vpZ[rhqOw1ODEnIshaoNGNky6 Oberstufe, HMWcbbRT0MCCCPMIgJi8n Prüfung, dsH749Mi9GOdqaSBuGKFb Abschluss]
5zKYITU1TtQnAN4Fhujo2 | Schule: Mathe | FERTIG
2z7tmWz9GHoxDLU7gja-M | Schule: Deutsch | 21 Einheiten (Jahr1-3 je 6, Jahr4 3); erst prüfen ob spezifische Einheiten (Alphabet, Sätze, Vorstellen, Wortschatz, Verben, Texte, Rechtschreibung, Erlebniserzählung, Lesen) schon Inhalt haben. Kapitel: B9nrYgI3W8fZlzfSLA1D b1X6bcl9UzzN18Z6d3gf lOMzNIhoPgiGlpISzup7 L4C2ZrbUsXcx5spapdTE
2z7tmWz9GHoxDLU7gja-M | Schule: Deutsch | Kurs+4 Module+Jahr1 (6) fertig; offen: b1X6bcl9UzzN18Z6d3gf[KSf7U5fmpTsMTKg0RpejB Wortschatz, Iztw0HZvsDmlrJXlblSqC Verben, 06a82FJeoda-ifj64Q4oO Texte, EGJrFd2bYfEjEssog_PAi Praktisch, CGWZcIF5a0QzY-4cYgIq9 Aufbau, nYMs077gbYUtMO2vK1HKm Fortgeschr] lOMzNIhoPgiGlpISzup7[ZTVmVxvnUHrpG1hMjHWXW Rechtschreibung, ibJxlwnDfo3ITC7IJhWty Erlebniserz, NE70eEvVsPTvCaCl_WoRm Lesen, d2iPUnjYgYQAvUwX4Gyry Vertiefung, TY2DKqXpsFKBN_VA_QTgL Komplex, Woogji4W6e91cxip5Xz2G Projekt] L4C2ZrbUsXcx5spapdTE[OFJcQGDPOOM5XW0kUG8uD Oberstufe, u-ihm4UT9_YMk1sfWW5Aq Prüfung, -4MJBhHqDttr4SLki6rp6 Abschluss]
2z7tmWz9GHoxDLU7gja-M | Schule: Deutsch | Jahr1-3 fertig; offen Jahr4 L4C2ZrbUsXcx5spapdTE[OFJcQGDPOOM5XW0kUG8uD, u-ihm4UT9_YMk1sfWW5Aq, -4MJBhHqDttr4SLki6rp6]
2z7tmWz9GHoxDLU7gja-M | Schule: Deutsch | FERTIG  → ALLE 9 SCHULFÄCHER FERTIG
LRUtI2t9EeJVdOKvi620j | KI: Schamanisches Trommeln (html, leer, keine Videos) | Kurs+4 Module+Lekt 1-2 fertig; offen: M95hAQuyVqYm8ajXqjH3[v0C8OiypD4M2kiW2EQdY1 spirituelle Bedeutung] KGDyHZvgxwixuI3FzmNX[AL-_2xOKKvbqYczeAtaBZ Arten, Gltndr7cIOJvTwGdFfqCH Materialien, mVre3mEguliFX90htKj_P Herstellung] A6axL5IIjqHa0VeECTef[I5MT8i30TxzOYSMJGDdyK Schlagtechniken, n0axvpVdO4j_LasH8EKHH Rhythmen, T8XMvaK1dePgrSg5cGPd1 Übungen] 6rNV9Qp5kJaAA6gDQFlk[j5g7WtSQPj7t6WMKmH8ce Fortg Schlag, ISYQfElMMR9koMS_5Dm5x Komplexe Rhythmen, J2sw8zUX9BORKHvnyc6oe Heilung Trance]
LRUtI2t9EeJVdOKvi620j | KI: Schamanisches Trommeln | FERTIG
nächster: wQxPE8j8RgYNN1WUGi7_6 Ninja-Yoga (vorher Videos prüfen)
wQxPE8j8RgYNN1WUGi7_6 | KI: Ninja-Yoga (html, leer) | Kurs+5 Module+4 Lekt fertig; offen: 8W1ulEyupMSymepblhfV[2MvZ2e81YlBC0k1nXHkCW Baum, Du5lPdSegUJ9l-rmoskeW Krähe] 3UpjXMF2KvLKvYzdSt9K[-3W9lB-IFHwmTvrKIxR6P Feueratem, 5e5ctoAFY9NStFRw60fQr Wechselatmung, l1JUWOlevliV60dLAKGqT Ninja-Atem] q3DwYPXvFwfjHAA2QBKZ[hkaerEAEhkX1VaH1nC04T Sitzen, zQH4EnQQ54e2VtDmzG0Dp Gehen, _J1tj9i5ETrt_Ud5-VcxQ Visualisierung] 69cyvprbxF4e0o1UxH4m[lb2MgPHU2hZY9MSSCVG-o Aufwärmen, mi-83-ra06BkIvgvQy0fA Flow, PZJnAzvJ7qIUr1L17bvE_ CoolDown]
wQxPE8j8RgYNN1WUGi7_6 | KI: Ninja-Yoga | FERTIG
nächster: ZqSRN7B-gsZpKiD_Wo6vA Tierkommunikation
ZqSRN7B-gsZpKiD_Wo6vA | KI: Tierkommunikation | Kurs+3 Module+6 Lekt fertig; offen BUApFO2IrKXNhJnti5Xv[VDnG_2h2RVvYa-qua9WRe Respekt, 68sjQ9jPBRm_O8-UJElw- Grenzen, c8XN73OhVx1cx_uXjHg6_ Datenschutz]
ZqSRN7B-gsZpKiD_Wo6vA | KI: Tierkommunikation | FERTIG
jPNBxWYNCgnp3BsjdCNTh | KI: Musik Kultur | Kurs+5 Module+3 Lekt fertig; offen: CMYfgszMl8RH2TRub1oi[eGwjDMN8b5ulXT2i69QYc Mittelalter, OhffZfM1f_a-piJoJAC3o Renaissance, ALQ6pY0aCbcAPXIB86y-i Barock, Lrd4p2isspN0831mXkm_t Klassik, _Q46y8SbScO8EUo3pVMO- Romantik, 8MUVrruIEQibfbW-4jPFY Moderne] W5puD5JmiLQStyVjazTr[_nUfT6E5HonEbP9M5-ns- Protest, RMu0RTaW6PoMih5FPLviA Identität, _xwpkQ5vUz8I8YWOSennR Industrie] kcA9MBq91OrRxZqKksAQ[PxTv1NeaINWZ81TyDGw0C Rock, Qgpu_PoOhcNw4NY4UhHwo HipHop, H1sNQt9Rq64T81zZdN5SZ Elektro, Y-J3HEbMpI0_zWRWiB631 Pop] 4omZ7X6eYgeyRyBac4ks[HEm0mBl3AXAUr-LjqeJfQ Afrika, 4jahJLyH9TH6kBYbtsDcb Asien, yMA1DGxsdvQpP6bhpXb9e Lateinamerika]
jPNBxWYNCgnp3BsjdCNTh | KI: Musik Kultur | bis Elektro fertig; offen: kcA9MBq91OrRxZqKksAQ[Y-J3HEbMpI0_zWRWiB631 Pop] 4omZ7X6eYgeyRyBac4ks[HEm0mBl3AXAUr-LjqeJfQ Afrika, 4jahJLyH9TH6kBYbtsDcb Asien, yMA1DGxsdvQpP6bhpXb9e Lateinamerika]
jPNBxWYNCgnp3BsjdCNTh | KI: Musik Kultur | FERTIG
MwQEaj8GQlhZrpz4ek3Ny | KI: Leadership | Kurs+4 Module+2 Lekt fertig; offen: ujZB40h6JuweCgM48e9x[3IYnSZPGHTzLTnbvdv9Sd Rolle] AsXhewixSpgZcaTWCLaL[8Y-nNXCmFdI2NCauWkUCU Kommunikation, muLV7KiOI-IeEjuafbkPU Zuhören, ja6OQYKwaPf_B0rxmW7G2 Motivation] 82bXsSCd5XmZ2ioHMzFA[GhafONr30vwtI7fTD-jG0 Konflikterkennung, DtU692Uw0lW95vE0sUJgm Lösung, LHf8wNTvqlZpOYw1F02en Entscheidung] 41NVJvf6aQb5Nac5wRBP[YsWQVYI654YKPrQMh0GpL Delegation, 5x2MfPf3SeR_2zU40OEmQ Feedback, fgsGTb2PRXXFh57TN9w9f virtuell]
MwQEaj8GQlhZrpz4ek3Ny | KI: Leadership | FERTIG
nächster: PQb4VUFYNFmLbrBIChg9V Ernährungstraining
PQb4VUFYNFmLbrBIChg9V | KI: Ernährung | Kurs+5 Module+4 Lekt fertig; offen: mnXq1sITEUqRzouePZxf[YItnlr5V87rd48V394dbi Zucker, UXoirZ7-QK1R4qT33u45y Achtsam] AUj0a5cSj5Vt6Nou6JNK[RTVDD1ZPV-bNfYfMaVsQg Stoffwechsel, x6kQXKIA5aPmgJj9p7vdK Energielieferanten, ZuNO4nz7EwYwjYsd-NLiY Vitalität] x1FesnCEsYu6dDoODnHy[eEfimU6IL3AKIWPKe0SY7 Darm, PS9mVaLI0J7AWlbJZT-cy Probiotika, PahqTpE-6NmI3gfUxa9MF Immun] e2eYf0osJ6w6qFEcNMnH[KheyR8YQziFJXrgCA14rB TCM, 9tuBPFWiDiTdFtCCrshsD Ayurveda, cX5aBVUyp4elfk67II1WL Blutgruppe]
PQb4VUFYNFmLbrBIChg9V | KI: Ernährung | bis Vitalität fertig; offen: x1FesnCEsYu6dDoODnHy[eEfimU6IL3AKIWPKe0SY7 Darm, PS9mVaLI0J7AWlbJZT-cy Probiotika, PahqTpE-6NmI3gfUxa9MF Immun] e2eYf0osJ6w6qFEcNMnH[KheyR8YQziFJXrgCA14rB TCM, 9tuBPFWiDiTdFtCCrshsD Ayurveda, cX5aBVUyp4elfk67II1WL Blutgruppe]
